Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
employees-covid.stilingue.com.br,8,30,1,3.978333581,2.947702779,3.803508855,0,0.28125,0,0,0,1,1
covid.saojoaodoparaiso.ma.gov.br,11,30,0,3.333743317,2.64939747,2.987090042,0,0.125,0,0,0,1,1
dev.coronaviruscolombia.gov.co,5,28,0,3.60601528,3.40582225,3.6412498,1,0.366666667,0,0,0,1,1
covid.rnbo.gov.ua,7,15,0,3.324862958,2,2.947702779,1,0.235294118,0,0,0,1,1
www.clickcovid.com.br,6,19,0,3.239097918,2.646439345,2.81507241,0,0.238095238,0,0,0,1,1
coronavirus.sgim.com.br,5,21,0,3.446439345,2,3.373557262,0,0.47826087,0,0,0,1,1
webdisk.covid.carutapera.ma.gov.br,11,32,0,3.935398667,2.646439345,3.788754914,0,0.117647059,0,0,0,2,1
covid.urbanosantos.ma.gov.br,8,26,0,3.636842188,2.918295834,3.4548224,0,0.214285714,0,0,0,1,1
8335.api.covid19.moh.gov.et,8,25,0,3.970573096,1.584962501,3.734521665,1,0.148148148,0,0,1,3,1
covid-19.haramaya.edu.et,8,22,1,3.820888851,2,3.5,1,0.166666667,0,0,0,1,1
admin.covid19.rnbo.gov.ua,9,23,0,3.689703732,2,3.5,1,0.2,0,0,0,2,1
szczepionkacovid19.edu.pl,9,24,0,3.914866304,3.725480557,3.725480557,0,0.16,0,0,0,0,1
coronavirus.opsu.edu,4,18,0,3.419381946,2,3.189898095,1,0.55,0,0,0,1,1
coronavirus-mask.utah.gov,4,23,1,3.762267391,2,3.68418372,1,0.44,0,0,0,1,1
cpanel.covid.jatoba.ma.gov.br,10,27,0,3.803508855,2.251629167,3.572469459,0,0.172413793,0,0,0,2,1
www.respiradorescovid.com.br,8,26,0,3.54346519,3.219528282,3.346439345,0,0.214285714,0,0,0,1,1
dev.covid19.gov.tl,6,16,0,3.323231429,2.807354922,2.921928095,0,0.222222222,0,0,0,1,1
covid.axixa.ma.gov.br,8,19,0,3.337175341,1.521928095,2.721928095,0,0.19047619,0,0,0,1,1
gripecovid19.com.br,6,18,0,3.616874606,3.418295834,3.418295834,0,0.263157895,0,0,0,0,1
covid19.saludcapital.gov.co,7,25,0,3.65726823,3.022055209,3.576617645,1,0.259259259,0,0,0,1,1
www.novocoronavirus.org.br,5,24,0,3.290321609,2.973557262,3.127986807,0,0.423076923,0,0,0,1,1
covid19lo.hp.gov.in,7,17,0,3.452819531,1,3.277613437,1,0.210526316,0,0,0,1,1
