Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
coronavirus-check.com,3,20,1,3.58418372,3.572469459,3.572469459,0,0.523809524,0,0,0,0,0
covid19tracer.com,5,16,0,3.452819531,3.39274741,3.39274741,0,0.352941176,0,0,0,0,0
covid-19training.org,5,19,1,3.576617645,3.577819531,3.577819531,0,0.4,0,0,0,0,0
quarantanked.com,4,15,0,3.456564762,3.022055209,3.022055209,0,0.375,0,0,0,0,0
covid19hydroxychloroquine.com,6,28,0,3.865764637,3.84385619,3.84385619,0,0.379310345,0,0,0,0,0
ufhealrhcovid.com,6,16,0,3.625,3.546593564,3.546593564,0,0.235294118,0,0,0,0,0
covid19portlandlawfirm.com,7,25,0,3.89366069,3.913977073,3.913977073,0,0.307692308,0,0,0,0,0
covid-19temperature.com,5,22,1,3.788754914,3.787143961,3.787143961,0,0.47826087,0,0,0,0,0
covid20vaccine.work,5,18,0,3.572431251,3.182005815,3.182005815,0,0.368421053,0,0,1,0,0
masquescovid19pourtous.com,8,25,0,3.78346519,3.811037868,3.811037868,0,0.269230769,0,0,0,0,0
no-corona-virus.com,4,18,1,3.281036113,3.189898095,3.189898095,0,0.315789474,1,0,0,0,0
covid-19-coronavirus-vaccine.com,6,31,1,3.667928472,3.628085279,3.628085279,0,0.34375,0,0,0,0,0
covid-19-assay.net,6,17,1,3.734521665,3.378783493,3.378783493,0,0.222222222,0,0,0,0,0
coronaviruspandemicsurvival.com,4,30,0,3.689246429,3.680089354,3.680089354,0,0.35483871,0,0,0,0,0
losmexicanosinmunesalcoronavirus.com,9,35,0,3.568449003,3.577819531,3.577819531,0,0.305555556,0,0,0,0,0
thefirstcovid19responder.com,7,27,0,3.856196298,3.772055209,3.772055209,0,0.321428571,0,0,0,0,0
covid19experience.com,5,20,0,3.48418372,3.381580488,3.381580488,0,0.476190476,0,0,0,0,0
covid19motivation.com,5,20,0,3.28418372,3.292770194,3.292770194,0,0.476190476,0,0,0,0,0
covid-19socialdistancing.com,6,27,1,3.689891669,3.636842188,3.636842188,0,0.357142857,0,0,0,0,0
covid2019forecast.com,5,20,0,3.846439345,3.852168724,3.852168724,0,0.380952381,0,0,1,0,0
carboncleancoronavirus.com,4,25,0,3.43326969,3.378775368,3.378775368,0,0.423076923,0,0,0,0,0
1800covid19.info,5,15,0,3.373557262,3.095795255,3.095795255,0,0.25,0,0,1,0,0
covid-19disinfectingorlando.com,6,30,1,3.898068512,3.856196298,3.856196298,0,0.387096774,0,0,0,0,0
covidcasemanager.com,5,19,0,3.431623566,3.452819531,3.452819531,0,0.35,0,0,0,0,0
thecovid19babies.com,6,19,0,3.721611724,3.625,3.625,0,0.3,0,0,0,0,0
corono-virus.net,4,15,1,3.323231429,3.022055209,3.022055209,0,0.3125,1,0,0,0,0
courbe-coronavirus.com,4,21,1,3.463280518,3.419381946,3.419381946,0,0.5,0,0,0,0,0
factsnotfearcoronavirus.com,5,26,0,3.536414237,3.46857663,3.46857663,0,0.407407407,0,0,0,0,0
instagram-covid19.com,6,20,1,3.821928095,3.852168724,3.852168724,0,0.238095238,0,0,0,0,0
postcoronasupport.video,4,22,0,3.442862165,2.984234165,2.984234165,0,0.304347826,0,0,0,0,0
ncovid19registry.com,5,19,0,3.826874882,3.75,3.75,0,0.4,0,0,0,0,0
coronavirusrapidtest.eu,4,22,0,3.606936732,3.58418372,3.58418372,0,0.47826087,0,0,0,0,0
covid19help24hr.com,7,18,0,3.836591668,3.773557262,3.773557262,0,0.210526316,0,0,1,0,0
runagainstcovid-19.com,6,21,1,3.916126947,3.836591668,3.836591668,0,0.318181818,0,0,0,0,0
covidroads.com,4,13,0,3.026986833,2.921928095,2.921928095,0,0.357142857,0,0,0,0,0
beforecovid-19.com,5,17,1,3.572469459,3.521640636,3.521640636,0,0.333333333,0,0,0,0,0
coronavirustempwork.com,4,22,0,3.697845823,3.74741304,3.74741304,0,0.47826087,0,0,0,0,0
trumpdidcorona.com,4,17,0,3.337175341,3.378783493,3.378783493,0,0.333333333,0,0,0,0,0
newcovid19testkit.com,7,20,0,3.68418372,3.572469459,3.572469459,0,0.19047619,0,0,0,0,0
covid19africanamericanrelieffund.info,8,36,0,3.673416585,3.694548828,3.694548828,0,0.216216216,0,0,0,0,0
sbacoronavirus.com,4,17,0,3.337175341,3.235926351,3.235926351,0,0.611111111,0,0,0,0,0
covid19rrg.com,6,13,0,3.238901257,3.121928095,3.121928095,0,0.285714286,0,0,0,0,0
covid19xmas.com,5,14,0,3.378783493,3.459431619,3.459431619,0,0.266666667,0,0,0,0,0
covid19smartshield.com,6,21,0,3.820888851,3.836591668,3.836591668,0,0.272727273,0,0,0,0,0
corona-update.in,3,15,1,3.506890596,3.39274741,3.39274741,0,0.375,0,0,0,0,0
covid19lawyersny.com,6,19,0,3.93213804,3.875,3.875,0,0.35,0,0,0,0,0
covidfree.xyz,4,12,0,3.418295834,2.947702779,2.947702779,0,0.307692308,0,0,0,0,0
covid-19mask.co,5,14,1,3.521640636,3.584962501,3.584962501,0,0.266666667,0,0,0,0,0
protegersedelcoronavirus.com,5,27,0,3.717850465,3.636842188,3.636842188,0,0.392857143,0,0,0,0,0
coronahygiene.africa,3,19,0,3.366091329,3.238901257,3.238901257,0,0.35,0,0,0,0,0
coronavirus-covid19-stop.ru,6,26,1,3.74832866,3.751629167,3.751629167,0,0.407407407,0,0,0,0,0
applecovid-19.com,5,16,1,3.625,3.546593564,3.546593564,0,0.294117647,0,0,0,0,0
sportvscoronavirus.org,4,21,0,3.308751351,3.26633264,3.26633264,0,0.5,0,0,0,0,0
coronaviruspublix.com,3,20,0,3.68418372,3.616874606,3.616874606,0,0.523809524,0,0,0,0,0
anti-covid.sk,4,12,1,3.418295834,3.121928095,3.121928095,0,0.307692308,0,0,0,0,0
covid19mascara.com,5,17,0,3.292770194,3.324862958,3.324862958,0,0.388888889,0,0,0,0,0
vacunadelcoronavirus.es,5,22,0,3.516027641,3.48418372,3.48418372,0,0.47826087,0,0,0,0,0
mail.pilarcoronavirus.com.br,5,26,0,3.51326969,3.327819531,3.40869497,0,0.392857143,0,0,0,1,0
diyvaccinecurecoronavirus.com,5,28,0,3.526129816,3.46346519,3.46346519,0,0.379310345,0,0,0,0,0
covidsanitizespray.com,5,21,0,3.784941827,3.683542362,3.683542362,0,0.409090909,0,0,0,0,0
covid-19assurance.com,5,20,1,3.78418372,3.734521665,3.734521665,0,0.428571429,0,0,0,0,0
coronavirusmoneymaker020.com,4,27,0,3.736006946,3.772055209,3.772055209,0,0.392857143,0,0,1,0,0
mascaracorona-virus.com,4,22,1,3.265583323,3.260828171,3.260828171,0,0.304347826,1,0,0,0,0
covidition.club,5,14,0,3.182005815,2.646439345,2.646439345,0,0.266666667,0,0,0,0,0
doineedacovidtest19test.com,8,26,0,3.488525295,3.360305978,3.360305978,0,0.148148148,0,0,0,0,0
kickcovid-19ass.com,7,18,1,3.46132014,3.373557262,3.373557262,0,0.210526316,0,0,0,0,0
covid19prestamos.com,7,19,0,3.681880803,3.75,3.75,0,0.2,0,0,0,0,0
coronaviruspandemic.news,3,23,0,3.708132065,3.616348566,3.616348566,0,0.458333333,0,0,0,0,0
comocoronavirus.online,3,21,0,3.3273399,3.106890596,3.106890596,0,0.5,0,0,0,0,0
covid-19-legalhotline.com,6,24,1,3.855388542,3.784941827,3.784941827,0,0.28,0,0,0,0,0
covid-19fever.com,5,16,1,3.5,3.39274741,3.39274741,0,0.294117647,0,0,0,0,0
covid.xyz,3,8,0,3,2.321928095,2.321928095,0,0.444444444,0,0,0,0,0
googlecronavirus.com,6,19,0,3.511085408,3.452819531,3.452819531,0,0.3,1,0,0,0,0
wuhanfluvirus.com,4,16,0,3.702819531,3.334679141,3.334679141,0,0.294117647,0,0,0,0,0
